OG1	OG2	direction	pvalue	qvalue	signif
OG0000693	OG0000766	49	6.4756708927984886e-52	5.132260947492472e-47	TRUE
OG0000074	OG0000120	34	6.744218568448528e-52	5.315566156915871e-47	TRUE
OG0000732	OG0000581	47	7.194068892395982e-52	5.638968524170352e-47	TRUE
OG0000575	OG0000495	41	9.63057345427312e-52	7.466735908710731e-47	TRUE
OG0000496	OG0000586	41	9.63057345427312e-52	7.466735908710731e-47	TRUE
OG0000541	OG0000449	43	9.973368509571253e-52	7.690712983291632e-47	TRUE
OG0000603	OG0000903	44	1.3161862665845648e-51	1.009487339779087e-46	TRUE
OG0000731	OG0000503	40	1.4303624685455247e-51	1.0853872679661648e-46	TRUE
OG0000537	OG0000461	40	1.4303624685455247e-51	1.0853872679661648e-46	TRUE
OG0000872	OG0000868	36	1.7745882759631982e-51	1.3324179446161486e-46	TRUE
OG0000370	OG0000353	35	1.7685197574297768e-51	1.3324179446161486e-46	TRUE
OG0000728	OG0000657	50	2.2002704196691577e-51	1.6433843955963814e-46	TRUE
OG0000612	OG0000611	44	2.2517216879909784e-51	1.6730539596604307e-46	TRUE
OG0001074	OG0001084	54	2.273872699434764e-51	1.6807584543106815e-46	TRUE
OG0000479	OG0000480	38	2.516350705926252e-51	1.850401215487654e-46	TRUE
OG0001129	OG0001153	41	2.923536363289283e-51	2.138800882580115e-46	TRUE
OG0000522	OG0000426	40	3.2428287623923584e-51	2.3602848076353717e-46	TRUE
OG0001533	OG0001540	44	3.5016126409084074e-51	2.5357027477365593e-46	TRUE
OG0000775	OG0000771	53	3.667687797983001e-51	2.6425525723753368e-46	TRUE
OG0000764	OG0000722	52	3.8327417563295783e-51	2.7475964576686333e-46	TRUE
OG0000717	OG0000707	49	5.065424776870532e-51	3.6131196250776095e-46	TRUE
OG0000643	OG0000599	45	1.2603073974783065e-50	8.944928922550943e-46	TRUE
OG0000706	OG0000581	46	1.5062765988545058e-50	1.0637751125238213e-45	TRUE
OG0000563	OG0000652	42	1.6620415875229429e-50	1.1679985793961705e-45	TRUE
OG0000329	OG0000580	43	1.7264492647063533e-50	1.1955921801645537e-45	TRUE
OG0000629	OG0000611	43	1.7264492647063533e-50	1.1955921801645537e-45	TRUE
OG0000586	OG0000611	43	1.7264492647063533e-50	1.1955921801645537e-45	TRUE
OG0000536	OG0000870	47	1.980930014816525e-50	1.3651967727342875e-45	TRUE
OG0000131	OG0000359	38	2.155595234068842e-50	1.471354746494108e-45	TRUE
OG0000361	OG0000468	38	2.155595234068842e-50	1.471354746494108e-45	TRUE
OG0000586	OG0000528	42	2.2230604994354285e-50	1.5101790917386394e-45	TRUE
