OG1	OG2	direction	pvalue	qvalue	signif
OG0000518	OG0000565	43	1.9247562465370805e-61	4.03127723416714e-56	TRUE
OG0001208	OG0001292	66	3.5771697040298234e-61	7.345245239699651e-56	TRUE
OG0001518	OG0001508	45	6.302736297674452e-61	1.2692954575160623e-55	TRUE
OG0000724	OG0000735	50	6.670087197261113e-61	1.3179306993408506e-55	TRUE
OG0000604	OG0000743	48	8.526093346463501e-61	1.6534583354924955e-55	TRUE
OG0000860	OG0000861	61	1.0514024649692079e-60	2.0019039381802503e-55	TRUE
OG0000796	OG0000838	56	1.1228957678182294e-60	2.0998503768299343e-55	TRUE
OG0000792	OG0000825	53	1.1858378546137823e-60	2.1786496001715688e-55	TRUE
OG0000345	OG0000620	45	1.688436389254001e-60	3.0485522470814494e-55	TRUE
OG0000822	OG0000839	58	1.9092856627081975e-60	3.388877202399472e-55	TRUE
OG0001135	OG0001153	55	2.5767530644828113e-60	4.497368599967224e-55	TRUE
OG0001086	OG0001085	45	1.4723619531876405e-59	2.5276776245056934e-54	TRUE
OG0001315	OG0001292	61	1.5104872588940437e-59	2.5513045840154823e-54	TRUE
OG0000684	OG0000770	50	1.6949585306895818e-59	2.817445086679794e-54	TRUE
OG0001205	OG0001172	108	3.262330748768367e-59	5.338078401767829e-54	TRUE
OG0000782	OG0000681	49	3.5436656513626602e-59	5.622710664579458e-54	TRUE
OG0001073	OG0001077	58	3.5308310563504677e-59	5.622710664579458e-54	TRUE
OG0000700	OG0000664	48	3.9543069194326996e-59	6.180626569898066e-54	TRUE
OG0000750	OG0000751	50	7.925256891943023e-59	1.2205100737888282e-53	TRUE
OG0001201	OG0001195	64	8.415885688004227e-59	1.2772845814588603e-53	TRUE
OG0001206	OG0001182	65	9.30204757674328e-59	1.3916097054861303e-53	TRUE
OG0000323	OG0000483	40	1.4478824500848643e-58	2.135560541492946e-53	TRUE
OG0000628	OG0000645	45	1.7964864153135335e-58	2.612933600385058e-53	TRUE
OG0001485	OG0001539	49	5.481978287766265e-58	7.8641426654338315e-53	TRUE
OG0001022	OG0001027	87	5.5597647369349005e-58	7.867950654564321e-53	TRUE
OG0000732	OG0000724	49	6.445799030712071e-58	8.993532713403365e-53	TRUE
OG0000742	OG0000677	50	6.612780561862778e-58	8.993532713403365e-53	TRUE
OG0000006	OG0001200	61	6.555092538292787e-58	8.993532713403365e-53	TRUE
OG0000603	OG0000555	43	1.4794378949702127e-57	1.9366167521496974e-52	TRUE
OG0000821	OG0000826	57	1.477461043865571e-57	1.9366167521496974e-52	TRUE
OG0000650	OG0000704	43	1.4794378949702127e-57	1.9366167521496974e-52	TRUE
OG0000628	OG0000532	42	1.7732242376053704e-57	2.292532876996204e-52	TRUE
OG0000600	OG0000611	46	3.104465600079352e-57	3.964696359753243e-52	TRUE
OG0001017	OG0001027	85	4.209034189627997e-57	5.3105719064821404e-52	TRUE
OG0001728	OG0001729	36	4.9273549702633335e-57	6.142872436080046e-52	TRUE
OG0000773	OG0000751	50	5.902209080920677e-57	7.271643798141126e-52	TRUE
OG0001101	OG0001076	54	9.130509575333993e-57	1.1118174795649168e-51	TRUE
OG0000861	OG0000881	61	1.183946227525961e-56	1.4251141688721734e-51	TRUE
OG0000689	OG0000737	49	1.5104812589888008e-56	1.7975029078218525e-51	TRUE
OG0000978	OG0000979	43	1.731476527999787e-56	2.0373401057396292e-51	TRUE
OG0000662	OG0000616	46	2.674418322323969e-56	3.111886596555703e-51	TRUE
OG0000794	OG0001005	57	3.4008711514073392e-56	3.9136836539406934e-51	TRUE
OG0001034	OG0001032	91	3.7479797235432914e-56	4.2662503597148584e-51	TRUE
OG0001025	OG0001023	87	5.722159184260531e-56	6.443382588988464e-51	TRUE
OG0000455	OG0000536	41	8.544611520523936e-56	9.419018494163606e-51	TRUE
OG0000442	OG0000469	41	8.544611520523936e-56	9.419018494163606e-51	TRUE
OG0000532	OG0000533	40	1.2369259193078011e-55	1.3493027006201138e-50	TRUE
OG0000796	OG0000732	50	1.5144858272870959e-55	1.6350476425624816e-50	TRUE
OG0000575	OG0000482	42	1.7566803913027438e-55	1.8771700238235926e-50	TRUE
OG0001283	OG0001286	36	1.8231213389974328e-55	1.909204753133678e-50	TRUE
OG0000388	OG0000415	36	1.8231213389974328e-55	1.909204753133678e-50	TRUE
OG0000844	OG0000881	59	1.887755306893027e-55	1.9573174077938408e-50	TRUE
OG0001045	OG0001060	56	2.0995514020426673e-55	2.155575666984076e-50	TRUE
OG0001086	OG0001084	43	2.6340086101345176e-55	2.6780390049363168e-50	TRUE
OG0000384	OG0000425	37	2.675114677618016e-55	2.693679973480685e-50	TRUE
OG0001057	OG0001045	53	3.519883734080837e-55	3.510556377412545e-50	TRUE
OG0000869	OG0000560	57	4.0870056428414185e-55	3.999985271479297e-50	TRUE
OG0000822	OG0000858	57	4.0870056428414185e-55	3.999985271479297e-50	TRUE
OG0000504	OG0000495	39	1.408048838223936e-54	1.3653088194885729e-49	TRUE
OG0000802	OG0000751	50	1.6324035167282366e-54	1.5683318284584437e-49	TRUE
OG0000373	OG0000554	41	1.822716654235778e-54	1.7352554182989285e-49	TRUE
OG0001110	OG0001140	54	2.299933054609336e-54	2.1698471834312235e-49	TRUE
OG0000721	OG0000819	51	2.883399890119663e-54	2.6960242078315873e-49	TRUE
OG0000987	OG0000994	46	3.328902486636885e-54	3.0850312147698324e-49	TRUE
OG0001023	OG0001032	87	4.3467747972254924e-54	3.992999184992077e-49	TRUE
OG0000415	OG0000350	36	6.732552445735273e-54	6.1308238383452376e-49	TRUE
OG0000761	OG0000578	47	7.37258645283602e-54	6.6557778370098705e-49	TRUE
OG0000684	OG0000769	48	8.886768259283575e-54	7.954171049780447e-49	TRUE
OG0000860	OG0000881	59	9.238127816457133e-54	8.198584780036847e-49	TRUE
OG0000821	OG0000839	56	1.1490701393987928e-53	1.0111987173217392e-48	TRUE
OG0001208	OG0001200	64	1.3181706181678314e-53	1.1503428926235272e-48	TRUE
OG0000807	OG0000819	54	1.7009028429885766e-53	1.472078837246012e-48	TRUE
OG0000941	OG0000939	71	1.7419551389002352e-53	1.4952508851366975e-48	TRUE
OG0000614	OG0000928	53	1.774180572134034e-53	1.5105309924527075e-48	TRUE
OG0000569	OG0000587	39	1.9635812158978338e-53	1.6450374466540894e-48	TRUE
OG0000542	OG0000541	39	1.9635812158978338e-53	1.6450374466540894e-48	TRUE
OG0000719	OG0000692	49	2.319303355176581e-53	1.9276311851428308e-48	TRUE
OG0001485	OG0001522	47	2.62256149341449e-53	2.145619182020264e-48	TRUE
OG0000052	OG0000086	47	2.62256149341449e-53	2.145619182020264e-48	TRUE
OG0000644	OG0000645	44	3.045398096464287e-53	2.472243787305349e-48	TRUE
OG0000643	OG0000546	41	4.197576415259433e-53	3.381366076465067e-48	TRUE
OG0000149	OG0000081	35	4.612496987663504e-53	3.687242767502446e-48	TRUE
OG0001206	OG0001195	62	5.828313262793911e-53	4.6238728993266745e-48	TRUE
OG0000462	OG0000478	41	1.303242276057052e-52	1.0261490590609048e-47	TRUE
OG0000339	OG0000449	37	1.3475359411779003e-52	1.0531069807716882e-47	TRUE
OG0001223	OG0001200	57	1.4068505989981522e-52	1.0913175613640055e-47	TRUE
OG0000792	OG0000768	49	1.6257999111858779e-52	1.2518869713766822e-47	TRUE
OG0000494	OG0000442	40	1.7346504591045307e-52	1.3259536427900326e-47	TRUE
OG0000722	OG0000586	47	1.7812673809783924e-52	1.3517206896133896e-47	TRUE
OG0000613	OG0000539	42	1.9427349427734102e-52	1.4636447656167686e-47	TRUE
OG0000460	OG0000474	38	2.236978454327899e-52	1.673288005852123e-47	TRUE
OG0000246	OG0000946	44	2.512620149382343e-52	1.866141874147389e-47	TRUE
OG0000540	OG0000702	41	2.5659264007844752e-52	1.879079221822487e-47	TRUE
OG0000645	OG0000532	41	2.5659264007844752e-52	1.879079221822487e-47	TRUE
OG0001208	OG0001195	62	2.6336616169147122e-52	1.9020805501224438e-47	TRUE
OG0001200	OG0001195	62	2.6336616169147122e-52	1.9020805501224438e-47	TRUE
OG0000529	OG0000530	39	2.7329336653059664e-52	1.96025769448008e-47	TRUE
OG0000804	OG0000724	49	3.3066181426580142e-52	2.35561137106856e-47	TRUE
OG0000921	OG0000843	52	3.530555714332987e-52	2.4981487039392407e-47	TRUE
OG0000763	OG0000539	39	6.795750662186866e-52	4.776261542720631e-47	TRUE
OG0000730	OG0000700	47	1.0949510754370096e-51	7.644346915577095e-47	TRUE
OG0000557	OG0000533	40	1.3246683026154576e-51	9.18686066662936e-47	TRUE
OG0001522	OG0001539	47	1.3520698445151486e-51	9.315206168457415e-47	TRUE
OG0000716	OG0000620	45	1.3816670722210153e-51	9.456902453400773e-47	TRUE
OG0000388	OG0000350	35	1.6541179908723712e-51	1.1248191379988224e-46	TRUE
OG0000613	OG0000685	42	2.2077519221684265e-51	1.4820491470055168e-46	TRUE
OG0001084	OG0001085	42	2.2077519221684265e-51	1.4820491470055168e-46	TRUE
OG0000928	OG0001073	53	2.6839617281109824e-51	1.790249655671487e-46	TRUE
OG0000880	OG0000873	55	2.745220070738427e-51	1.8195207430066622e-46	TRUE
OG0001277	OG0001260	100	3.3639547824506654e-51	2.215592864016671e-46	TRUE
OG0000006	OG0001195	57	3.5151688618622716e-51	2.300716686946337e-46	TRUE
OG0000931	OG0000633	44	7.06447694143396e-51	4.56669419003939e-46	TRUE
OG0000572	OG0000705	44	7.06447694143396e-51	4.56669419003939e-46	TRUE
OG0000628	OG0000533	40	8.859152416773068e-51	5.6569880072727396e-46	TRUE
OG0000605	OG0000533	40	8.859152416773068e-51	5.6569880072727396e-46	TRUE
OG0000725	OG0000652	47	9.146015529984892e-51	5.804768747196063e-46	TRUE
OG0001201	OG0000006	57	1.3794005509215372e-50	8.598407942706726e-46	TRUE
OG0000553	OG0000474	39	1.3768627315569557e-50	8.598407942706726e-46	TRUE
OG0000933	OG0000940	39	1.3768627315569557e-50	8.598407942706726e-46	TRUE
OG0000558	OG0000671	44	1.5989232970990726e-50	9.907814306344246e-46	TRUE
OG0000491	OG0000601	40	1.876420568107645e-50	1.1558944964260735e-45	TRUE
OG0000343	OG0000445	34	2.2036516013764266e-50	1.3495337668009229e-45	TRUE
OG0000575	OG0000679	43	2.7780291984420224e-50	1.691395970885104e-45	TRUE
OG0001023	OG0001027	84	3.448389456556466e-50	2.0874070118846044e-45	TRUE
OG0000607	OG0000485	40	5.29450356798754e-50	3.1864927124479016e-45	TRUE
OG0001652	OG0001653	30	6.073930568044872e-50	3.6211681851892715e-45	TRUE
OG0000146	OG0000439	43	6.08589466595397e-50	3.6211681851892715e-45	TRUE
OG0000731	OG0000820	49	6.193443618152061e-50	3.664340769229671e-45	TRUE
OG0000931	OG0000725	46	6.383193073050305e-50	3.75538883724515e-45	TRUE
OG0000636	OG0000501	41	7.839712995131261e-50	4.5865281717598714e-45	TRUE
OG0001334	OG0001272	42	9.506325195282683e-50	5.5306616976797025e-45	TRUE
OG0000631	OG0000681	43	1.2800448167108764e-49	7.405997021261899e-45	TRUE
OG0001201	OG0001208	61	1.4198867400079882e-49	8.086988027978783e-45	TRUE
OG0000378	OG0000611	42	1.4212895359938521e-49	8.086988027978783e-45	TRUE
OG0000628	OG0000644	42	1.4212895359938521e-49	8.086988027978783e-45	TRUE
OG0000545	OG0000642	41	1.4286360209913149e-49	8.086988027978783e-45	TRUE
OG0000563	OG0000598	40	2.0398049723665923e-49	1.148451434209575e-44	TRUE
OG0001788	OG0001808	34	2.712609478444908e-49	1.5030118453726604e-44	TRUE
OG0000390	OG0000474	38	2.712527612106283e-49	1.5030118453726604e-44	TRUE
OG0000897	OG0000891	34	2.712609478444908e-49	1.5030118453726604e-44	TRUE
OG0000644	OG0000532	40	2.871158936345286e-49	1.5824885108095068e-44	TRUE
OG0001453	OG0001450	33	3.0207845305598568e-49	1.6562401707905866e-44	TRUE
OG0000450	OG0000509	36	3.117033431447454e-49	1.7001105568750873e-44	TRUE
OG0000523	OG0000546	38	3.3053542915837768e-49	1.793484553565836e-44	TRUE
OG0000719	OG0000706	46	3.5242203714380676e-49	1.9023843295095269e-44	TRUE
OG0001293	OG0001195	56	4.825089566285171e-49	2.578019752750101e-44	TRUE
OG0000846	OG0000875	45	4.800727679895399e-49	2.578019752750101e-44	TRUE
OG0001293	OG0001316	53	4.9136367165716805e-49	2.612003476954354e-44	TRUE
OG0000975	OG0000993	45	5.5073530869362095e-49	2.9128268091181456e-44	TRUE
OG0000560	OG0000842	54	6.3840789961085984e-49	3.359557730912189e-44	TRUE
OG0000821	OG0000858	55	6.964195988007044e-49	3.6465143042451826e-44	TRUE
OG0000525	OG0000834	41	7.187072878718524e-49	3.7444921448142797e-44	TRUE
OG0001083	OG0001077	56	7.322127726802537e-49	3.79597080443347e-44	TRUE
OG0000361	OG0000256	33	9.89980228462218e-49	5.107018319692883e-44	TRUE
OG0001293	OG0001197	55	1.01544576729664e-48	5.212709212541891e-44	TRUE
OG0000557	OG0000532	39	1.24451454713862e-48	6.326589986502875e-44	TRUE
OG0000593	OG0000531	39	1.24451454713862e-48	6.326589986502875e-44	TRUE
