OG1	OG2	direction	pvalue	qvalue	signif
OG0000723	OG0000727	51	1.153673906113882e-53	9.309870141535349e-49	true
OG0001206	OG0001195	63	1.1583657056535982e-53	9.309870141535349e-49	true
OG0001025	OG0001032	86	1.2657739736984607e-53	1.0041975627870948e-48	true
OG0000575	OG0000482	41	1.6702999230883634e-53	1.3053488632364034e-48	true
OG0000373	OG0000554	41	1.6702999230883634e-53	1.3053488632364034e-48	true
OG0000869	OG0000742	58	1.9282017777104255e-53	1.4957383984960333e-48	true
OG0000523	OG0000546	40	2.5164145472240704e-53	1.937671766727263e-48	true
OG0000625	OG0000507	44	2.594769455701856e-53	1.983422074418543e-48	true
OG0000987	OG0000994	47	2.62256149341449e-53	1.9901395311492305e-48	true
OG0000006	OG0001195	59	2.7872005424331117e-53	2.099860045155037e-48	true
OG0000665	OG0000783	50	3.0534800713382857e-53	2.284041479967649e-48	true
OG0000149	OG0000081	35	4.612496987663504e-53	3.4257361882469535e-48	true
OG0000884	OG0000873	62	6.462739413872786e-53	4.7661228580431446e-48	true
OG0000619	OG0000764	48	8.6182885510015e-53	6.311345071669419e-48	true
OG0000732	OG0000838	50	9.302575338391136e-53	6.765153208117467e-48	true
OG0000772	OG0000764	52	1.1777310352841788e-52	8.505797711833193e-48	true
OG0000792	OG0000768	51	1.215447152104438e-52	8.718066092833181e-48	true
OG0000557	OG0000532	41	1.303242276057052e-52	9.284205772455807e-48	true
OG0001023	OG0001032	85	1.5457476444617181e-52	1.0937392827289553e-47	true
OG0000722	OG0000586	47	1.7812673809783924e-52	1.2519292293063609e-47	true
OG0000613	OG0000539	42	1.9427349427734106e-52	1.3563108161382055e-47	true
OG0000460	OG0000474	38	2.236978454327899e-52	1.5513928531079285e-47	true
OG0001032	OG0001017	83	2.3526601883584626e-52	1.6208862868870375e-47	true
OG0000052	OG0000086	45	2.4056348262930006e-52	1.6465510648803743e-47	true
OG0000607	OG0000485	41	2.5659264007844756e-52	1.7448592774065954e-47	true
OG0000558	OG0000671	45	3.797075583878299e-52	2.565396374172665e-47	true
OG0001283	OG0001286	33	5.096423312546812e-52	3.4211949935572576e-47	true
OG0000802	OG0000751	49	5.8907786066987376e-52	3.929252888304711e-47	true
OG0000933	OG0000940	39	6.795750662186866e-52	4.504196011806166e-47	true
OG0001108	OG0001182	59	7.768547428432829e-52	5.116578360685282e-47	true
OG0000628	OG0000533	41	8.901210133024589e-52	5.789753982982417e-47	true
OG0000605	OG0000532	41	8.901210133024589e-52	5.789753982982417e-47	true
OG0000730	OG0000700	49	1.0307725835664794e-51	6.629765125306233e-47	true
OG0001206	OG0001292	61	1.031926617185307e-51	6.629765125306233e-47	true
OG0000861	OG0000881	60	1.530012537732502e-51	9.769854010574024e-47	true
OG0000388	OG0000415	35	1.6541179908723712e-51	1.0310842098322537e-46	true
OG0000968	OG0000736	52	1.6404040684214445e-51	1.0310842098322537e-46	true
OG0000921	OG0000843	52	1.6404040684214445e-51	1.0310842098322537e-46	true
OG0000343	OG0000445	35	1.6541179908723712e-51	1.0310842098322537e-46	true
OG0001201	OG0001293	57	1.9577693698390743e-51	1.2131423318558508e-46	true
OG0000644	OG0000645	44	2.068889123867189e-51	1.2744571193895887e-46	true
OG0001025	OG0001027	84	2.2522910188574843e-51	1.379320932906134e-46	true
