genome	Subclade	Family	Genus	Species	Subclade_assignment_source	Family_assignment_source	Genus_assignment_source	Species_assignment_source
AG-917-F18	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AH-287-C13	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-910-G11	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-919-F21	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-917-K20	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
SAG-MED28	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-337-E15	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-911-G13	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-914-J05	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-918-M15	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-919-M05	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-912-P19	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-916-E17	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-913-I14	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-903-M21	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AH-287-E19	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-919-I13	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-390-M15	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
SAG-MED05	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-461-E04	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-337-G11	Ia.4.N3	Pelagibacteraceae	Proventipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
ETNP2013_S02_SV82_300m_MAG_01	IIa.A	Cosmipelagibacteraceae	Anoxypelagibacter	denitrificans	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains
GOM-A1	Ib.1.III	Pelagibacteraceae	Copipelagibacter	splendidus	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
HIMB109	NA	Fontibacteriaceae	Elongatipelagibacter	longiformis	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
HIMB114	NA	Fontibacteriaceae	Elongatipelagibacter	longiformis	NA	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains
HIMB1517	NA	Fontibacteriaceae	Elongatipelagibacter	longiformis	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
HIMB1565	NA	Fontibacteriaceae	Elongatipelagibacter	longiformis	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
LSUCC0530	NA	Fontibacteriaceae	Fontibacterium	commune	NA	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains
