genome	Subclade	Family	Genus	Species	Subclade_assignment_source	Family_assignment_source	Genus_assignment_source	Species_assignment_source
AH-324-N03	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AH-287-B07	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AH-324-F03	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AH-324-J07	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-349-L17	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-422-G03	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
HIMB1456	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-422-C20	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-447-E19	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-896-O18	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-894-P23	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-422-D23	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-895-F17	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-891-I18	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-894-O09	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-916-N14	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
HIMB2201	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-920-D05	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-349-O05	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-390-G23	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
HIMB123	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-447-C08	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-892-A22	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-410-O02	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
HIMB1444	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
