genome	Clade1	original_Subclade	harmonized_Subclade	original_Family	harmonized_Family	original_Genus	harmonized_Genus	original_Species	harmonized_Species	subclade_changed	family_changed	genus_changed	species_changed
AG-920-L20	I	Ib.1	Ib.1.III	Pelagibacteraceae	Pelagibacteraceae	Copiapelagibacter	Copipelagibacter	NA	NA	TRUE	FALSE	TRUE	FALSE
AG-900-I19	I	Ib.1	Ib.1.III	Pelagibacteraceae	Pelagibacteraceae	Copiapelagibacter	Copipelagibacter	NA	NA	TRUE	FALSE	TRUE	FALSE
AG-894-A03	I	Ib.1	Ib.1.III	Pelagibacteraceae	Pelagibacteraceae	Copiapelagibacter	Copipelagibacter	NA	NA	TRUE	FALSE	TRUE	FALSE
AG-359-G17	I	Ib.1	Ib.1.III	Pelagibacteraceae	Pelagibacteraceae	Copiapelagibacter	Copipelagibacter	NA	NA	TRUE	FALSE	TRUE	FALSE
AG-426-M19	I	Ib.1	Ib.1.III	Pelagibacteraceae	Pelagibacteraceae	Copiapelagibacter	Copipelagibacter	NA	NA	TRUE	FALSE	TRUE	FALSE
AG-894-B06	I	Ib.1	Ib.1.III	Pelagibacteraceae	Pelagibacteraceae	Copiapelagibacter	Copipelagibacter	NA	NA	TRUE	FALSE	TRUE	FALSE
AG-903-C11	I	Ib.1	Ib.1.III	Pelagibacteraceae	Pelagibacteraceae	Copiapelagibacter	Copipelagibacter	NA	NA	TRUE	FALSE	TRUE	FALSE
AG-897-O16	I	Ib.1	Ib.1.III	Pelagibacteraceae	Pelagibacteraceae	Copiapelagibacter	Copipelagibacter	NA	NA	TRUE	FALSE	TRUE	FALSE
AG-899-O04	I	Ib.1	Ib.1.III	Pelagibacteraceae	Pelagibacteraceae	Copiapelagibacter	Copipelagibacter	NA	NA	TRUE	FALSE	TRUE	FALSE
AG-913-G10	I	Ib.1	Ib.1.III	Pelagibacteraceae	Pelagibacteraceae	Copiapelagibacter	Copipelagibacter	NA	NA	TRUE	FALSE	TRUE	FALSE
AG-918-E02	I	Ib.1	Ib.1.III	Pelagibacteraceae	Pelagibacteraceae	Copiapelagibacter	Copipelagibacter	NA	NA	TRUE	FALSE	TRUE	FALSE
AG-893-N07	I	Ib.1	Ib.1.III	Pelagibacteraceae	Pelagibacteraceae	Copiapelagibacter	Copipelagibacter	NA	NA	TRUE	FALSE	TRUE	FALSE
AG-912-A14	I	Ib.1	Ib.1.III	Pelagibacteraceae	Pelagibacteraceae	Copiapelagibacter	Copipelagibacter	NA	NA	TRUE	FALSE	TRUE	FALSE
AG-898-G21	I	Ib.1	Ib.1.III	Pelagibacteraceae	Pelagibacteraceae	Copiapelagibacter	Copipelagibacter	NA	splendidus	TRUE	FALSE	TRUE	TRUE
AG-909-F14	I	Ib.1	Ib.1.III	Pelagibacteraceae	Pelagibacteraceae	Copiapelagibacter	Copipelagibacter	NA	NA	TRUE	FALSE	TRUE	FALSE
AG-912-I02	I	Ib.1	Ib.1.III	Pelagibacteraceae	Pelagibacteraceae	Copiapelagibacter	Copipelagibacter	NA	NA	TRUE	FALSE	TRUE	FALSE
AG-359-O11	I	Ib.1	Ib.1.III	Pelagibacteraceae	Pelagibacteraceae	Copiapelagibacter	Copipelagibacter	NA	NA	TRUE	FALSE	TRUE	FALSE
AG-915-G14	I	Ib.1	Ib.1.III	Pelagibacteraceae	Pelagibacteraceae	Copiapelagibacter	Copipelagibacter	NA	NA	TRUE	FALSE	TRUE	FALSE
AG-916-E19	I	Ib.1	Ib.1.III	Pelagibacteraceae	Pelagibacteraceae	Copiapelagibacter	Copipelagibacter	NA	NA	TRUE	FALSE	TRUE	FALSE
AG-917-D23	I	Ib.1	Ib.1.III	Pelagibacteraceae	Pelagibacteraceae	Copiapelagibacter	Copipelagibacter	NA	NA	TRUE	FALSE	TRUE	FALSE
AG-426-E13	I	Ib.1	Ib.1.III	Pelagibacteraceae	Pelagibacteraceae	Copiapelagibacter	Copipelagibacter	NA	NA	TRUE	FALSE	TRUE	FALSE
AG-894-L19	I	Ib.1	Ib.1.III	Pelagibacteraceae	Pelagibacteraceae	Copiapelagibacter	Copipelagibacter	NA	NA	TRUE	FALSE	TRUE	FALSE
AG-913-I09	I	Ib.1	Ib.1.III	Pelagibacteraceae	Pelagibacteraceae	Copiapelagibacter	Copipelagibacter	NA	NA	TRUE	FALSE	TRUE	FALSE
AG-359-B05	I	Ib.1	Ib.1.III	Pelagibacteraceae	Pelagibacteraceae	Copiapelagibacter	Copipelagibacter	NA	NA	TRUE	FALSE	TRUE	FALSE
AG-892-B11	I	Ib.1	Ib.1.III	Pelagibacteraceae	Pelagibacteraceae	Copiapelagibacter	Copipelagibacter	NA	NA	TRUE	FALSE	TRUE	FALSE
AG-894-E10	I	Ib.1	Ib.1.III	Pelagibacteraceae	Pelagibacteraceae	Copiapelagibacter	Copipelagibacter	NA	NA	TRUE	FALSE	TRUE	FALSE
AG-908-L09	I	Ib.1	Ib.1.III	Pelagibacteraceae	Pelagibacteraceae	Copiapelagibacter	Copipelagibacter	NA	NA	TRUE	FALSE	TRUE	FALSE
AG-917-D14	I	Ib.1	Ib.1.III	Pelagibacteraceae	Pelagibacteraceae	Copiapelagibacter	Copipelagibacter	NA	NA	TRUE	FALSE	TRUE	FALSE
AG-892-J03	I	Ib.1	Ib.1.III	Pelagibacteraceae	Pelagibacteraceae	Copiapelagibacter	Copipelagibacter	NA	NA	TRUE	FALSE	TRUE	FALSE
AG-899-A06	I	Ib.1	Ib.1.III	Pelagibacteraceae	Pelagibacteraceae	Copiapelagibacter	Copipelagibacter	NA	NA	TRUE	FALSE	TRUE	FALSE
AG-918-K13	I	Ib.1	Ib.1.III	Pelagibacteraceae	Pelagibacteraceae	Copiapelagibacter	Copipelagibacter	NA	NA	TRUE	FALSE	TRUE	FALSE
AG-916-L11	I	Ib.1	Ib.1.III	Pelagibacteraceae	Pelagibacteraceae	Copiapelagibacter	Copipelagibacter	NA	NA	TRUE	FALSE	TRUE	FALSE
AG-897-G09	I	Ib.1	Ib.1.III	Pelagibacteraceae	Pelagibacteraceae	Copiapelagibacter	Copipelagibacter	NA	NA	TRUE	FALSE	TRUE	FALSE
AG-916-B06	I	Ib.1	Ib.1.III	Pelagibacteraceae	Pelagibacteraceae	Copiapelagibacter	Copipelagibacter	NA	NA	TRUE	FALSE	TRUE	FALSE
