genome_type	family	genus	subclade	annotation_combination	length_bin_start	length_bin_end	n_proteins
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	Pfam only	325	350	1
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	Pfam only	375	400	1
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	Pfam only	475	500	1
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	Pfam only	575	600	1
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + KO	150	175	2
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + KO	200	225	1
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + KO	250	275	1
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + KO	325	350	2
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + KO	350	375	3
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + KO	375	400	3
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + KO	400	425	1
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + KO	450	475	1
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + KO	775	800	1
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + KO	800	825	1
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + KO + Pfam	25	50	4
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + KO + Pfam	50	75	25
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + KO + Pfam	75	100	47
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + KO + Pfam	100	125	67
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + KO + Pfam	125	150	85
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + KO + Pfam	150	175	98
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + KO + Pfam	175	200	99
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + KO + Pfam	200	225	89
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + KO + Pfam	225	250	103
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + KO + Pfam	250	275	102
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + KO + Pfam	275	300	94
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + KO + Pfam	300	325	95
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + KO + Pfam	325	350	91
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + KO + Pfam	350	375	81
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + KO + Pfam	375	400	61
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + KO + Pfam	400	425	55
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + KO + Pfam	425	450	76
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + KO + Pfam	450	475	51
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + KO + Pfam	475	500	53
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + KO + Pfam	500	525	30
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + KO + Pfam	525	550	15
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + KO + Pfam	550	575	19
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + KO + Pfam	575	600	16
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + KO + Pfam	600	625	18
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + KO + Pfam	625	650	24
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + KO + Pfam	650	675	11
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + KO + Pfam	675	700	11
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + KO + Pfam	700	725	9
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + KO + Pfam	725	750	7
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + KO + Pfam	750	775	9
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + KO + Pfam	775	800	6
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + KO + Pfam	800	825	5
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + KO + Pfam	850	875	6
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + KO + Pfam	875	900	13
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + KO + Pfam	900	925	4
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + KO + Pfam	925	950	2
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + KO + Pfam	950	975	4
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + KO + Pfam	975	1000	2
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + KO + Pfam	1050	1075	2
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + KO + Pfam	1100	1125	2
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + KO + Pfam	1125	1150	2
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + KO + Pfam	1250	1275	1
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + KO + Pfam	1350	1375	1
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + KO + Pfam	1375	1400	2
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + KO + Pfam	1500	1525	3
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + Pfam	25	50	1
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + Pfam	50	75	8
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + Pfam	75	100	38
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + Pfam	100	125	46
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + Pfam	125	150	56
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + Pfam	150	175	48
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + Pfam	175	200	42
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + Pfam	200	225	58
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + Pfam	225	250	65
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + Pfam	250	275	50
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + Pfam	275	300	52
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + Pfam	300	325	46
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + Pfam	325	350	38
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + Pfam	350	375	38
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + Pfam	375	400	33
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + Pfam	400	425	31
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + Pfam	425	450	18
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + Pfam	450	475	5
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + Pfam	475	500	5
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + Pfam	500	525	7
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + Pfam	525	550	3
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + Pfam	550	575	8
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + Pfam	575	600	6
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + Pfam	600	625	2
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + Pfam	625	650	3
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + Pfam	675	700	3
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + Pfam	700	725	2
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + Pfam	725	750	1
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + Pfam	750	775	5
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + Pfam	800	825	2
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + Pfam	825	850	3
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + Pfam	850	875	1
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + Pfam	875	900	1
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + Pfam	950	975	2
Isolate	Fontibacteriaceae	NA	IIIa.3	COG + Pfam	1025	1050	3
Isolate	Fontibacteriaceae	NA	IIIa.3	COG only	25	50	5
Isolate	Fontibacteriaceae	NA	IIIa.3	COG only	50	75	9
Isolate	Fontibacteriaceae	NA	IIIa.3	COG only	75	100	8
Isolate	Fontibacteriaceae	NA	IIIa.3	COG only	100	125	3
