280	1483	1
280	1761	1
283	1036	4
283	1403	2
283	1690	1
283	2065	2
284	428	4
284	580	1
284	659	1
284	763	2
284	1027	3
284	1036	1
284	1219	1
284	2081	3
284	2085	4
296	424	2
296	504	2
296	565	1
296	1693	2
296	2181	1
297	308	1
297	465	2
297	731	1
297	892	2
297	959	2
297	1090	3
297	1106	1
297	1143	2
297	1222	1
297	1553	2
297	1558	1
297	1690	1
297	1754	1
297	1829	1
297	1841	1
297	1908	1
297	2014	3
297	2018	1
297	2020	1
297	2022	1
297	2120	1
297	2135	3
297	2158	2
297	2207	3
297	2213	1
297	2215	2
297	2221	1
297	2224	3
297	2233	3
305	310	1
305	587	1
305	857	1
305	859	2
305	1111	2
305	1157	1
305	1829	1
305	2018	2
305	2022	1
305	2035	1
305	2213	1
307	308	3
307	573	3
307	587	3
307	1066	6
307	1071	1
307	1222	1
307	1754	1
307	1817	1
307	1908	3
307	2019	1
307	2022	1
307	2024	3
307	2025	5
307	2030	3
307	2211	3
307	2219	1
307	2221	1
307	2223	7
308	573	3
308	587	1
308	597	1
308	609	1
308	634	1
308	954	1
308	1066	3
308	1071	1
308	1084	3
308	1222	3
308	1335	3
308	1515	1
308	1558	3
308	1690	5
308	1706	1
308	1754	3
308	1758	1
308	1908	2
308	2022	1
308	2025	2
308	2030	1
308	2058	2
308	2158	1
308	2211	2
308	2223	4
308	2224	1
308	2233	2
310	510	1
310	521	2
310	565	1
310	741	3
310	1009	3
310	1111	1
310	1873	1
310	1896	3
319	462	3
319	732	1
319	766	3
319	817	1
319	1125	1
319	1593	1
319	1798	1
321	615	2
321	900	4
321	1047	1
321	1409	3
321	1576	1
321	1626	1
321	1803	1
321	1927	1
321	1979	2
321	2078	1
321	2153	1
330	489	1
330	799	1
330	868	1
330	905	2
330	1576	2
330	1926	1
335	402	3
335	747	3
335	1764	3
335	1969	1
348	615	3
348	1311	1
348	1576	2
348	1979	2
357	467	1
357	920	1
357	940	8
357	1174	2
359	712	1
359	1151	1
359	1201	1
359	1626	2
359	1630	1
359	1642	2
359	1888	2
359	1889	2
362	577	2
362	580	2
362	1355	2
362	1660	1
362	1795	1
369	489	1
369	1303	1
369	1727	1
395	615	3
395	698	3
395	869	2
395	1103	2
395	1298	1
395	1371	2
395	1771	2
395	1829	2
395	1873	2
395	1896	2
395	1908	2
397	615	3
397	735	1
397	1383	1
397	1817	1
402	747	6
402	1248	1
402	1764	6
402	1969	1
424	504	5
424	615	1
424	905	3
424	1011	1
424	1071	1
424	1201	1
424	1203	1
424	1544	1
424	1593	2
424	1693	3
424	1798	1
424	1801	1
424	1841	1
424	1843	1
424	1873	1
424	1896	1
424	2109	1
424	2181	3
424	2195	1
428	580	1
428	659	1
428	763	2
428	1027	3
428	2081	3
428	2085	3
456	609	4
456	1758	5
456	2075	1
462	732	1
462	766	1
462	817	1
462	1125	1
465	615	1
465	1071	1
465	1106	1
465	1143	1
465	1553	4
465	1829	1
465	2120	3
465	2158	4
465	2213	2
465	2224	6
465	2233	6
467	791	1
467	940	1
467	1314	1
471	763	1
471	766	2
471	868	1
471	1140	1
471	1229	3
471	1512	1
471	1896	1
471	1975	4
489	794	1
489	905	1
489	1201	1
489	1237	1
489	1576	3
489	1798	1
489	2109	1
498	565	1
498	1019	2
498	1206	1
504	905	1
504	1071	1
504	1693	2
504	2181	1
510	521	1
510	741	1
510	1009	1
510	1896	1
510	1984	3
521	565	1
521	741	4
521	1009	4
521	1896	4
544	597	5
544	634	1
544	954	1
544	1119	1
544	1314	1
544	1706	2
544	1848	2
544	1872	1
544	1969	1
565	741	1
565	1009	1
565	1896	1
573	587	1
573	1066	3
573	1071	1
573	1222	1
573	1754	1
573	1908	1
573	2022	1
573	2025	2
573	2030	1
573	2211	2
573	2223	3
576	622	2
576	716	1
576	756	1
576	1426	4
576	1430	1
576	1493	1
576	1586	2
576	1690	2
576	1691	3
576	1745	4
576	1866	2
576	1882	1
576	2090	3
576	2233	1
576	2253	5
577	1622	2
580	612	1
580	679	1
580	754	3
580	763	1
580	1027	1
580	1355	4
580	1434	1
580	1660	3
580	1696	2
580	1720	1
580	1795	3
580	2081	1
585	1036	1
585	1128	2
585	1403	1
585	1841	1
587	857	1
587	1066	3
587	1222	1
587	1754	1
587	1817	1
587	1829	1
587	1908	2
587	2018	1
587	2019	1
587	2022	1
587	2024	2
587	2025	2
587	2030	1
587	2035	1
587	2211	2
587	2219	1
587	2221	1
587	2223	3
591	712	1
591	1151	1
591	1201	3
591	1203	3
591	1626	1
597	634	4
597	954	2
597	1119	2
597	1201	1
597	1303	1
597	1314	1
597	1483	1
597	1493	1
597	1512	1
597	1515	2
597	1690	1
597	1706	5
597	1727	1
597	1761	1
597	1777	2
597	1848	4
597	1872	2
597	1883	1
597	1969	1
597	1985	1
606	1149	2
606	1237	1
606	1277	3
606	1305	1
606	1626	5
609	1690	1
609	1754	1
609	1758	10
609	2018	1
609	2075	2
609	2158	1
609	2233	1
611	905	1
611	1303	2
611	1727	2
612	870	3
612	1873	1
614	1576	1
614	1803	1
614	1978	1
615	698	6
615	735	2
615	794	2
615	869	2
615	946	3
615	1011	4
615	1103	6
615	1111	1
615	1125	2
615	1257	2
615	1298	3
615	1311	2
615	1355	1
615	1357	1
615	1371	6
615	1383	4
615	1389	3
615	1462	2
615	1553	1
615	1576	7
615	1696	7
615	1769	9
615	1771	6
615	1787	2
615	1796	5
615	1798	1
615	1803	2
615	1817	2
615	1829	5
615	1843	1
615	1873	8
615	1896	12
615	1908	2
615	1924	3
615	1927	8
615	1978	3
615	1979	9
615	2078	4
615	2107	2
615	2109	1
615	2213	1
615	2224	1
615	2233	3
622	683	2
622	1430	1
622	1586	1
622	1603	3
622	1691	1
622	1796	2
622	1837	2
622	1841	2
622	1882	1
622	2065	2
622	2253	1
634	779	1
634	791	1
634	920	1
634	954	1
634	1140	1
634	1213	1
634	1303	2
634	1314	1
634	1483	2
634	1493	1
634	1512	2
634	1515	2
634	1587	1
634	1690	1
634	1706	2
634	1761	1
634	1848	1
634	1872	1
634	1883	1
634	2070	1
659	1027	2
659	1434	1
659	2085	1
679	683	1
679	1096	1
679	1512	1
679	1796	1
683	1603	2
683	1667	1
683	1796	3
683	1837	2
683	1841	2
683	2065	2
698	869	2
698	1011	1
698	1103	2
698	1298	3
698	1371	2
698	1383	1
698	1769	1
698	1771	2
698	1796	1
698	1817	1
698	1829	4
698	1873	3
698	1896	3
698	1908	2
712	1151	12
712	1201	3
712	1203	2
712	1287	3
712	1626	11
712	1642	1
712	1798	1
716	756	1
716	1690	3
716	1866	1
716	2253	4
731	959	2
731	1090	3
731	2014	3
731	2135	3
731	2215	1
732	817	3
732	1311	1
735	1383	2
741	1009	6
741	1873	1
741	1896	7
745	883	3
745	995	2
745	1140	1
747	963	1
747	1248	1
747	1764	7
747	1798	1
747	1969	1
754	1303	1
754	1660	1
754	1696	2
754	1795	1
754	1832	1
754	2195	1
756	2253	3
763	1027	2
763	1229	1
763	1975	1
763	2081	2
763	2085	1
766	868	1
766	1125	1
766	1229	1
766	1593	1
766	1798	1
766	1896	1
766	1975	1
769	1317	1
769	1434	1
769	1690	1
769	1832	1
769	2195	1
779	920	2
779	1303	3
779	1587	2
779	1832	3
779	2070	1
791	1314	2
794	1011	1
794	1576	3
794	1896	2
795	1143	4
795	1303	2
795	1798	1
795	1803	1
795	1843	1
795	1892	1
799	868	3
799	905	1
799	961	1
799	1926	1
799	1932	1
799	2035	1
817	1311	1
849	1335	1
849	1544	1
849	1693	1
849	2195	1
857	1829	1
857	2018	1
857	2022	1
857	2035	1
859	1111	1
859	1157	1
859	2018	1
859	2022	1
859	2035	1
859	2213	2
859	2221	1
868	905	1
868	961	1
868	1229	1
868	1926	1
868	1932	1
868	1975	1
868	2035	1
869	1103	2
869	1107	1
869	1335	1
869	1371	2
869	1771	2
