id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	score<Avg. pub. year>
1795	"steele, ja"	-0.34	-0.1674	7	6	9	3	2011.6667
1796	"steindler, l"	0.0832	-0.0132	4	21	37	8	2013.875
1798	"stepanauskas, r"	0.1664	-0.1358	1	27	39	10	2017.1
1801	"stewart, fj"	-0.0395	-0.015	1	7	12	4	2018.5
1803	"stingl, u"	-0.2458	-0.4374	6	9	15	9	2012.1111
1809	"storesund, je"	1.1354	-0.0575	16	2	6	3	2013.6667
1817	"suffridge, cp"	-0.9583	-0.0312	13	18	19	3	2022
1829	"sun, j"	-0.7223	0.0429	13	34	56	9	2018.3333
1832	"sun, s"	0.2663	-0.1089	8	12	23	8	2010.375
1833	"sun, y"	-0.4889	0.212	5	5	6	3	2020
1837	"sutherland, kr"	0.448	0.2875	4	6	12	3	2019.3333
1841	"suzuki, mt"	0.1829	0.286	4	15	22	6	2011.1667
1843	"swan, bk"	-0.1478	-0.1794	6	11	13	3	2013.3333
1848	"sánchez, o"	0.919	-0.1942	3	10	16	4	2013
1866	"tarran, ga"	0.7928	0.3352	10	7	11	3	2010
1872	"teira, e"	0.8431	-0.3875	3	9	17	7	2017.1429
1873	"temperton, b"	-0.6662	-0.5218	6	35	75	15	2017.8
1882	"thiele, s"	0.8502	0.0643	16	6	7	5	2018.8
1883	"thingstad, tf"	1.0523	-0.0615	16	7	11	5	2014.2
1888	"thompson, cc"	1.0114	0.9111	9	2	5	3	2018.6667
1889	"thompson, fl"	0.9765	0.925	9	2	5	3	2018.6667
1892	"thompson, lr"	-0.245	-0.337	6	4	6	3	2015.6667
1896	"thrash, jc"	-0.5876	-0.3345	12	35	95	21	2016.4762
1908	"todd, jd"	-0.8216	0.145	2	31	59	10	2017.9
1924	"treusch, ah"	-0.3479	-0.682	6	9	13	4	2013
1926	"tringe, sg"	0.1221	-0.1909	1	13	13	3	2014.6667
1927	"tripp, hj"	-0.2816	-0.8485	11	13	31	9	2007.8889
1932	"tsementzi, d"	-0.0871	-0.0994	1	8	14	4	2019.5
1969	"varela, mm"	1.0182	-0.3923	3	9	10	3	2018.3333
1975	"venter, jc"	0.1945	0.0838	1	10	17	4	2014.5
1978	"vergin, k"	-0.3625	-0.5286	6	7	10	4	2007
1979	"vergin, kl"	-0.2361	-0.7573	6	19	40	9	2007.6667
1984	"viklund, j"	-0.0646	-0.2447	12	6	11	4	2012.25
1985	"vila-costa, m"	0.5151	-0.1669	8	12	19	6	2013.3333
1999	"våge, s"	1.1241	-0.0961	16	2	6	3	2013.6667
