genome	Subclade	Family	Genus	Species	Subclade_assignment_source	Family_assignment_source	Genus_assignment_source	Species_assignment_source
HIMB1556	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	huakaii	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains
HIMB1748	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	huakaii	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
HIMB1662	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	huakaii	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
HIMB1723	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	huakaii	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
HIMB140	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	huakaii	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
HIMB1513	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	huakaii	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
HIMB1521	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	huakaii	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
HIMB1430	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	huakaii	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
HIMB1611	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	huakaii	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
HIMB1758	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	huakaii	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
HIMB1488	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	huakaii	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
HIMB1506	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	huakaii	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
HIMB2211	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	huakaii	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
HIMB1746	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	huakaii	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
HIMB1542	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	huakaii	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
HIMB1695	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
HIMB1577	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	huakaii	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
HIMB1631	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	huakaii	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
HIMB1715	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	huakaii	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
HIMB1701	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	huakaii	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
HIMB1782	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	huakaii	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
HIMB1602	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	huakaii	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
AG-891-G02	NA	NA	NA	NA	NA	NA	NA	NA
HIMB1623	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
HIMB1709	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-359-C09	Ia.3.VII	Pelagibacteraceae	Angustipelagibacter	atlanticus	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
AG-359-M21	Ia.3.VII	Pelagibacteraceae	Angustipelagibacter	atlanticus	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
AG-920-J04	Ia.3.VII	Pelagibacteraceae	Angustipelagibacter	atlanticus	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
AG-904-F17	Ia.3.VII	Pelagibacteraceae	Angustipelagibacter	atlanticus	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
AG-915-K13	Ia.3.VII	Pelagibacteraceae	Angustipelagibacter	atlanticus	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
AG-892-E08	NA	NA	NA	NA	NA	NA	NA	NA
