genome	Clade1	original_Subclade	harmonized_Subclade	original_Family	harmonized_Family	original_Genus	harmonized_Genus	original_Species	harmonized_Species	subclade_changed	family_changed	genus_changed	species_changed
MED-G40	II	IIa.A	II	Cosmipelagibacteraceae	Cosmipelagibacteraceae	Anoxypelagibacter	NA	NA	NA	TRUE	FALSE	TRUE	FALSE
AG-313-A04	II	IIa.B	II	Cosmipelagibacteraceae	Cosmipelagibacteraceae	Cosmipelagibacter	Cosmipelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
AG-918-N23	II	IIa.B	II	Cosmipelagibacteraceae	Cosmipelagibacteraceae	Cosmipelagibacter	Cosmipelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
HIMB058	II	IIa.B	II	Cosmipelagibacteraceae	Cosmipelagibacteraceae	Cosmipelagibacter	Cosmipelagibacter	regressus	regressus	TRUE	FALSE	FALSE	FALSE
AG-422-F15	II	IIa.B	II	Cosmipelagibacteraceae	Cosmipelagibacteraceae	Cosmipelagibacter	Cosmipelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
AG-453-G04	II	IIa.B	II	Cosmipelagibacteraceae	Cosmipelagibacteraceae	Cosmipelagibacter	Cosmipelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
AG-891-O15	II	IIa.B	II	Cosmipelagibacteraceae	Cosmipelagibacteraceae	Cosmipelagibacter	Cosmipelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
AG-917-F18	II	IIa.B	II	Cosmipelagibacteraceae	Cosmipelagibacteraceae	Cosmipelagibacter	Cosmipelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
AH-287-C13	II	IIa.B	II	Cosmipelagibacteraceae	Cosmipelagibacteraceae	Cosmipelagibacter	Cosmipelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
AG-910-G11	II	IIa.B	II	Cosmipelagibacteraceae	Cosmipelagibacteraceae	Cosmipelagibacter	Cosmipelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
AG-919-F21	II	IIa.B	II	Cosmipelagibacteraceae	Cosmipelagibacteraceae	Cosmipelagibacter	Cosmipelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
AG-917-K20	II	IIa.B	II	Cosmipelagibacteraceae	Cosmipelagibacteraceae	Cosmipelagibacter	Cosmipelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
SAG-MED28	II	IIa.B	II	Cosmipelagibacteraceae	Cosmipelagibacteraceae	Cosmipelagibacter	Cosmipelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
AG-337-E15	II	IIa.B	II	Cosmipelagibacteraceae	Cosmipelagibacteraceae	Cosmipelagibacter	Cosmipelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
AG-911-G13	II	IIa.B	II	Cosmipelagibacteraceae	Cosmipelagibacteraceae	Cosmipelagibacter	Cosmipelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
