genome	Clade1	type	rank	prior_value	Family	Genus	Subclade	Species	validation_reasons	eligible_in_any_tree	gap_category
AG-337-G06	IV	SAG	Family	NA	NA	NA	IV	NA	NA	NA	outside_harmonization_scope
AG-422-B15	IV	SAG	Family	NA	NA	NA	IV	NA	NA	NA	outside_harmonization_scope
AG-422-C21	IV	SAG	Family	NA	NA	NA	IV	NA	NA	NA	outside_harmonization_scope
AG-426-I21	IV	SAG	Family	NA	NA	NA	IV	NA	NA	NA	outside_harmonization_scope
AG-439-D15	IV	SAG	Family	NA	NA	NA	IV	NA	NA	NA	outside_harmonization_scope
AG-457-M14	IV	SAG	Family	NA	NA	NA	IV	NA	NA	NA	outside_harmonization_scope
AG-461-P14	IV	SAG	Family	NA	NA	NA	IV	NA	NA	NA	outside_harmonization_scope
AG-891-J04	IV	SAG	Family	NA	NA	NA	IV	NA	NA	NA	outside_harmonization_scope
AG-892-M06	IV	SAG	Family	NA	NA	NA	IV	NA	NA	NA	outside_harmonization_scope
AG-893-M03	IV	SAG	Family	NA	NA	NA	IV	NA	NA	NA	outside_harmonization_scope
AG-894-A11	IV	SAG	Family	NA	NA	NA	IV	NA	NA	NA	outside_harmonization_scope
AG-895-F07	IV	SAG	Family	NA	NA	NA	IV	NA	NA	NA	outside_harmonization_scope
AG-896-A02	IV	SAG	Family	NA	NA	NA	IV	NA	NA	NA	outside_harmonization_scope
AG-899-O02	IV	SAG	Family	NA	NA	NA	IV	NA	NA	NA	outside_harmonization_scope
AG-900-K14	IV	SAG	Family	NA	NA	NA	IV	NA	NA	NA	outside_harmonization_scope
AG-900-M14	IV	SAG	Family	NA	NA	NA	IV	NA	NA	NA	outside_harmonization_scope
AG-901-G03	IV	SAG	Family	NA	NA	NA	IV	NA	NA	NA	outside_harmonization_scope
AG-905-D16	IV	SAG	Family	NA	NA	NA	IV	NA	NA	NA	outside_harmonization_scope
AG-909-G09	IV	SAG	Family	NA	NA	NA	IV	NA	NA	NA	outside_harmonization_scope
AG-911-E02	IV	SAG	Family	NA	NA	NA	IV	NA	NA	NA	outside_harmonization_scope
AG-919-N17	IV	SAG	Family	NA	NA	NA	IV	NA	NA	NA	outside_harmonization_scope
AG-919-P09	IV	SAG	Family	NA	NA	NA	IV	NA	NA	NA	outside_harmonization_scope
AG-920-L11	IV	SAG	Family	NA	NA	NA	IV	NA	NA	NA	outside_harmonization_scope
AH-287-F15	IV	SAG	Family	NA	NA	NA	IV	NA	NA	NA	outside_harmonization_scope
AAA795-D22	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-325-C18	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-325-C21	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-325-G21	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-325-L02	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-325-L05	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-333-A04	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-333-D08	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-333-K06	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-333-N15	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-359-F04	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-359-P18	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-365-D07	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-365-L04	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-365-O14	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-390-C19	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-390-E04	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-390-G13	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-390-M07	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-390-O04	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-404-B04	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-404-J20	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-404-O05	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-404-O18	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-410-K05	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-410-L19	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-414-B08	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-414-L04	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-414-M23	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-422-C13	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-422-N14	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-422-N15	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-426-C04	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-426-G09	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-426-I10	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-426-K09	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-426-P08	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-430-A11	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-430-B09	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-430-G11	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-430-J21	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-430-K07	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-439-B12	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-439-C18	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-439-E23	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-439-G19	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-439-O15	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-447-B22	I	SAG	Genus	Tantillipelagibacter	Pelagibacteraceae	NA	NA	NA	candidate_expands_seed_crown;support_below_threshold	TRUE	prior_label_failed_SAR11_165_high_support_criteria
AG-447-K09	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-447-L14	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-447-N08	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-447-N21	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-447-O23	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-464-P13	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-892-C18	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-892-K09	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-892-L05	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-893-P10	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-895-G15	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-896-C18	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-898-P13	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-905-E10	I	SAG	Genus	Lacunipelagibacter	Pelagibacteraceae	NA	NA	NA	candidate_expands_seed_crown;support_below_threshold	TRUE	prior_label_failed_SAR11_165_high_support_criteria
AG-905-E11	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-905-G04	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-913-C02	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-913-O18	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-914-L04	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-916-J11	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-917-O20	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-919-A21	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-920-I23	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AH-287-E08	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AH-321-N11	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AH-324-K07	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AH-324-K09	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
ARS1	I	MAG	Genus	Mesopelagibacter	Mesopelagibacteraceae	NA	Ic	NA	insufficient_seeds	FALSE	insufficient_independent_seeds
BACL5_MAG-120820-bin39	I	MAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
BACL5_MAG-121015-bin10	I	MAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
Baikal-G1	I	MAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
MED605	I	MAG	Genus	Mesopelagibacter	Mesopelagibacteraceae	NA	Ic	NA	insufficient_seeds	FALSE	insufficient_independent_seeds
SAG-MED01	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
SAG-MED13	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
SAG-MED15	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
SAG-MED47	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
SAG-MED49	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
Uisw_134_02	I	isolate	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-916-G03	II	SAG	Genus	Anoxypelagibacter	Cosmipelagibacteraceae	NA	II	NA	candidate_expands_seed_crown;competing_seed	TRUE	prior_label_failed_SAR11_165_high_support_criteria
MED-G40	II	MAG	Genus	Anoxypelagibacter	Cosmipelagibacteraceae	NA	II	NA	candidate_expands_seed_crown;competing_seed	TRUE	prior_label_failed_SAR11_165_high_support_criteria
AG-894-A09	III	SAG	Genus	NA	Fontibacteriaceae	NA	IIIa.2	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-907-B09	III	SAG	Genus	NA	Fontibacteriaceae	NA	IIIa.2	NA	NA	NA	no_prior_label_and_no_supported_assignment
IMCC9063	III	isolate	Genus	NA	Fontibacteriaceae	NA	IIIa.3	NA	NA	NA	no_prior_label_and_no_supported_assignment
LSUCC0261	III	isolate	Genus	NA	Fontibacteriaceae	NA	IIIa.3	NA	NA	NA	no_prior_label_and_no_supported_assignment
MED602	III	MAG	Genus	NA	Fontibacteriaceae	NA	IIIa.2	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-337-G06	IV	SAG	Genus	NA	NA	NA	IV	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-422-B15	IV	SAG	Genus	NA	NA	NA	IV	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-422-C21	IV	SAG	Genus	NA	NA	NA	IV	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-426-I21	IV	SAG	Genus	NA	NA	NA	IV	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-439-D15	IV	SAG	Genus	NA	NA	NA	IV	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-457-M14	IV	SAG	Genus	NA	NA	NA	IV	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-461-P14	IV	SAG	Genus	NA	NA	NA	IV	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-891-J04	IV	SAG	Genus	NA	NA	NA	IV	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-892-M06	IV	SAG	Genus	NA	NA	NA	IV	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-893-M03	IV	SAG	Genus	NA	NA	NA	IV	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-894-A11	IV	SAG	Genus	NA	NA	NA	IV	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-895-F07	IV	SAG	Genus	NA	NA	NA	IV	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-896-A02	IV	SAG	Genus	NA	NA	NA	IV	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-899-O02	IV	SAG	Genus	NA	NA	NA	IV	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-900-K14	IV	SAG	Genus	NA	NA	NA	IV	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-900-M14	IV	SAG	Genus	NA	NA	NA	IV	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-901-G03	IV	SAG	Genus	NA	NA	NA	IV	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-905-D16	IV	SAG	Genus	NA	NA	NA	IV	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-909-G09	IV	SAG	Genus	NA	NA	NA	IV	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-911-E02	IV	SAG	Genus	NA	NA	NA	IV	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-919-N17	IV	SAG	Genus	NA	NA	NA	IV	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-919-P09	IV	SAG	Genus	NA	NA	NA	IV	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-920-L11	IV	SAG	Genus	NA	NA	NA	IV	NA	NA	NA	no_prior_label_and_no_supported_assignment
AH-287-F15	IV	SAG	Genus	NA	NA	NA	IV	NA	NA	NA	no_prior_label_and_no_supported_assignment
AAA795-D22	I	SAG	Species	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-325-C18	I	SAG	Species	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-325-C21	I	SAG	Species	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-325-E08	I	SAG	Species	NA	Pelagibacteraceae	Pantolocipelagibacter	Ia.4.N2	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-325-G21	I	SAG	Species	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-325-L02	I	SAG	Species	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-325-L05	I	SAG	Species	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-333-A04	I	SAG	Species	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-333-D08	I	SAG	Species	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-333-K06	I	SAG	Species	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-333-N15	I	SAG	Species	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-337-C09	I	SAG	Species	NA	Pelagibacteraceae	Stellipelagibacter	Ib.2.I	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-337-C19	I	SAG	Species	NA	Pelagibacteraceae	Fusipelagibacter	Ib.N10	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-337-D16	I	SAG	Species	NA	Pelagibacteraceae	Copipelagibacter	Ib.1.III	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-337-D17	I	SAG	Species	NA	Pelagibacteraceae	Tantillipelagibacter	Ia.4.N5	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-337-G04	I	SAG	Species	NA	Pelagibacteraceae	Stellipelagibacter	Ib.2.I	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-337-G11	I	SAG	Species	NA	Pelagibacteraceae	Proventipelagibacter	Ia.4.N3	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-349-I05	I	SAG	Species	NA	Pelagibacteraceae	Rubripelagibacter	Ib.N11	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-349-L17	I	SAG	Species	NA	Pelagibacteraceae	Xanthinipelagibacter	Ia.3.V	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-349-O05	I	SAG	Species	NA	Pelagibacteraceae	Xanthinipelagibacter	Ia.3.V	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-359-B05	I	SAG	Species	NA	Pelagibacteraceae	Copipelagibacter	Ib.1.III	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-359-F04	I	SAG	Species	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-359-G17	I	SAG	Species	NA	Pelagibacteraceae	Copipelagibacter	Ib.1.III	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-359-G22	I	SAG	Species	NA	Pelagibacteraceae	Tantillipelagibacter	Ia.4.N5	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-359-O11	I	SAG	Species	NA	Pelagibacteraceae	Copipelagibacter	Ib.1.III	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-359-P18	I	SAG	Species	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-365-D07	I	SAG	Species	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-365-L04	I	SAG	Species	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-365-O14	I	SAG	Species	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-390-C17	I	SAG	Species	NA	Pelagibacteraceae	Undatipelagibacter	Ia.3.VI	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-390-C19	I	SAG	Species	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-390-D02	I	SAG	Species	NA	Pelagibacteraceae	Pantolocipelagibacter	Ia.4.N2	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-390-D15	I	SAG	Species	NA	Pelagibacteraceae	Pantolocipelagibacter	Ia.4.N2	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-390-E04	I	SAG	Species	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-390-G11	I	SAG	Species	NA	Pelagibacteraceae	Accedentipelagibacter	Ia.3.IV	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-390-G13	I	SAG	Species	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-390-G23	I	SAG	Species	NA	Pelagibacteraceae	Xanthinipelagibacter	Ia.3.V	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-390-I15	I	SAG	Species	NA	Pelagibacteraceae	Angustipelagibacter	Ia.3.VII	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-390-J13	I	SAG	Species	NA	Pelagibacteraceae	Pantolocipelagibacter	Ia.4.N2	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-390-J21	I	SAG	Species	NA	Pelagibacteraceae	Lacunipelagibacter	Ia.4.II	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-390-L03	I	SAG	Species	NA	Pelagibacteraceae	Accedentipelagibacter	Ia.3.IV	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-390-M02	I	SAG	Species	NA	Pelagibacteraceae	Pantolocipelagibacter	Ia.4.N2	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-390-M07	I	SAG	Species	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-390-M14	I	SAG	Species	NA	Pelagibacteraceae	Xanthinipelagibacter	Ia.3.V	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-390-O04	I	SAG	Species	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-404-B04	I	SAG	Species	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-404-J20	I	SAG	Species	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-404-O05	I	SAG	Species	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-404-O18	I	SAG	Species	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-404-P13	I	SAG	Species	NA	Pelagibacteraceae	Stellipelagibacter	Ib.2.I	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-410-K05	I	SAG	Species	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-410-L19	I	SAG	Species	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-410-O02	I	SAG	Species	NA	Pelagibacteraceae	Xanthinipelagibacter	Ia.3.V	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-414-B08	I	SAG	Species	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-414-E02	I	SAG	Species	NA	Mesopelagibacteraceae	Mesopelagibacter	Ic	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-414-L04	I	SAG	Species	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-414-M23	I	SAG	Species	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-414-O09	I	SAG	Species	NA	Pelagibacteraceae	Stellipelagibacter	Ib.2.I	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-422-B22	I	SAG	Species	NA	Pelagibacteraceae	Xanthinipelagibacter	Ia.3.V	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-422-C13	I	SAG	Species	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-422-C20	I	SAG	Species	NA	Pelagibacteraceae	Xanthinipelagibacter	Ia.3.V	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-422-D23	I	SAG	Species	NA	Pelagibacteraceae	Xanthinipelagibacter	Ia.3.V	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-422-E09	I	SAG	Species	NA	Pelagibacteraceae	Xanthinipelagibacter	Ia.3.V	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-422-G03	I	SAG	Species	NA	Pelagibacteraceae	Xanthinipelagibacter	Ia.3.V	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-422-N14	I	SAG	Species	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-422-N15	I	SAG	Species	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-426-C04	I	SAG	Species	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-426-D09	I	SAG	Species	NA	Pelagibacteraceae	Tantillipelagibacter	Ia.4.N5	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-426-E13	I	SAG	Species	NA	Pelagibacteraceae	Copipelagibacter	Ib.1.III	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-426-G09	I	SAG	Species	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-426-I10	I	SAG	Species	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-426-K09	I	SAG	Species	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
