OG_ID	ko_best	ko_best_definition	ko_support	n_genes	ko_rate
OG0001580	K13796	tricarballylate dehydrogenase	30	65	0.46153846153846156
OG0001582	K02805	dTDP-4-amino-4,6-dideoxygalactose transaminase [EC:2.6.1.59]	24	64	0.375
OG0001583	K21001	polysaccharide biosynthesis protein PslH	11	64	0.171875
OG0001585	K01666	4-hydroxy 2-oxovalerate aldolase [EC:4.1.3.39]	59	63	0.9365079365079365
OG0001586	K22210	D-glutamate cyclase [EC:4.2.1.48]	62	63	0.9841269841269841
OG0001590	K02030	polar amino acid transport system substrate-binding protein	9	62	0.14516129032258066
OG0001594	K05306	phosphonoacetaldehyde hydrolase [EC:3.11.1.1]	57	62	0.9193548387096774
OG0001596	K05710	3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin component	1	61	0.01639344262295082
OG0001596	K08080	CMP-N-acetylneuraminate monooxygenase [EC:1.14.18.2]	5	61	0.08196721311475409
OG0001596	K14952	UDP-MurNAc hydroxylase	3	61	0.04918032786885246
OG0001600	K24131	protease PrsW [EC:3.4.-.-]	60	60	1
OG0001604	K10680	N-ethylmaleimide reductase [EC:1.-.-.-]	9	60	0.15
OG0001604	K22551	N-methyl-L-proline demethylase [EC:1.5.3.-]	2	60	0.03333333333333333
OG0001608	K07182	CBS domain-containing protein	21	59	0.3559322033898305
OG0001610	K00472	prolyl 4-hydroxylase [EC:1.14.11.2]	2	59	0.03389830508474576
OG0001614	K06413	stage V sporulation protein K	59	59	1
OG0001619	K00831	phosphoserine aminotransferase [EC:2.6.1.52]	57	58	0.9827586206896551
OG0001621	K16922	putative peptide zinc metalloprotease protein	57	58	0.9827586206896551
OG0001623	K01118	FMN-dependent NADH-azoreductase [EC:1.7.1.17]	56	57	0.9824561403508771
OG0001624	K07258	serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6) [EC:3.4.16.4]	1	57	0.017543859649122806
OG0001624	K22684	metacaspase-1 [EC:3.4.22.-]	1	57	0.017543859649122806
OG0001626	K09667	protein O-GlcNAc transferase [EC:2.4.1.255]	17	57	0.2982456140350877
OG0001627	K22424	glutamine kinase [EC:2.7.3.13]	50	56	0.8928571428571429
OG0001633	K00662	aminoglycoside 3-N-acetyltransferase [EC:2.3.1.81]	53	56	0.9464285714285714
OG0001636	K01854	UDP-galactopyranose mutase [EC:5.4.99.9]	46	55	0.8363636363636363
OG0001645	K06164	alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnI [EC:2.7.8.37]	54	54	1
OG0001649	K03439	tRNA (guanine-N7-)-methyltransferase [EC:2.1.1.33]	47	53	0.8867924528301887
OG0001651	K00648	3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180]	15	53	0.2830188679245283
OG0001651	K16872	beta-ketodecanoyl-[acyl-carrier-protein] synthase [EC:2.3.1.207]	23	53	0.4339622641509434
OG0001652	K06166	alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnG [EC:2.7.8.37]	53	53	1
OG0001654	K06163	alpha-D-ribose 1-methylphosphonate 5-phosphate C-P lyase [EC:4.7.1.1]	52	53	0.9811320754716981
OG0001655	K06162	alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase [EC:3.6.1.63]	53	53	1
